Term,Subject,Course Number,Section,CRN,Title,Primary Instructor,Instructor ID,Status,Campus,Grade Mode,Maximum Enrollment,Actual Enrollment,Seats Available,Dean's Expected Enrollment,Waitlist,Start Date,End Date,Building,Room,Days,Start Time,End Time,College,Department,Fee #1 Detail Code,Fee #1 Name,Fee #1 Type,Fee #1 Amount,Fee #2 Detail Code,Fee #2 Name,Fee #2 Type,Fee #2 Amount,Instruction Method,Schedule Code,Part of Term,Level,Gened,Attributes
Fall 2017,A HI,1113,1,14218,Understanding Art,Kenneth Haltman,112707192,Active,Norman - Main Campus,L,90,0,90,0,0,8/21/17,12/8/17,FJC,205,T/R,1030,1145,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,LDIV,AF,AF FA LDIV LIB NLD UFA
Fall 2017,A HI,2014,1,34981,Introduction to Art History,Allison L Palmer,112112303,Active,Norman - Main Campus,L,0,0,0,0,0,8/21/17,12/8/17,FAC,205,T/R,1330,1445,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,LDIV,AF,AF FA LDIV LIB NLD UFA
...,A HI,2014,1,34981,...,...,...,...,...,,,,,,,8/21/17,12/8/17,FJC,203,F,900,1000,,,,,,,,,,,,,,,,
Fall 2017,A HI,2014,2,35093,Introduction to Art History,Allison L Palmer,112112303,Active,Norman - Main Campus,L,15,0,15,0,0,8/21/17,12/8/17,FAC,205,T/R,1330,1445,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,LDIV,AF,AF FA LDIV LIB NLD UFA
...,A HI,2014,2,35093,...,...,...,...,...,,,,,,,8/21/17,12/8/17,FJC,204,F,1030,1130,,,,,,,,,,,,,,,,
Fall 2017,A HI,2014,3,35094,Introduction to Art History,Allison L Palmer,112112303,Active,Norman - Main Campus,L,15,0,15,0,0,8/21/17,12/8/17,FAC,205,T/R,1330,1445,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,LDIV,AF,AF FA LDIV LIB NLD UFA
...,A HI,2014,3,35094,...,...,...,...,...,,,,,,,8/21/17,12/8/17,FJC,203,F,1200,1300,,,,,,,,,,,,,,,,
Fall 2017,A HI,2014,4,35095,Introduction to Art History,Allison L Palmer,112112303,Active,Norman - Main Campus,L,15,0,15,0,0,8/21/17,12/8/17,FAC,205,T/R,1330,1445,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,LDIV,AF,AF FA LDIV LIB NLD UFA
...,A HI,2014,4,35095,...,...,...,...,...,,,,,,,8/21/17,12/8/17,FJC,204,F,1330,1430,,,,,,,,,,,,,,,,
Fall 2017,A HI,2014,5,36122,Introduction to Art History,Allison L Palmer,112112303,Active,Norman - Main Campus,L,15,0,15,0,0,8/21/17,12/8/17,FAC,205,T/R,1330,1445,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,LDIV,AF,AF FA LDIV LIB NLD UFA
...,A HI,2014,5,36122,...,...,...,...,...,,,,,,,8/21/17,12/8/17,FJC,203,F,1030,1130,,,,,,,,,,,,,,,,
Fall 2017,A HI,2014,6,36123,Introduction to Art History,Allison L Palmer,112112303,Active,Norman - Main Campus,L,15,0,15,0,0,8/21/17,12/8/17,FAC,205,T/R,1330,1445,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,LDIV,AF,AF FA LDIV LIB NLD UFA
...,A HI,2014,6,36123,...,...,...,...,...,,,,,,,8/21/17,12/8/17,FJC,204,F,1200,1300,,,,,,,,,,,,,,,,
Fall 2017,A HI,2014,7,36171,Introduction to Art History,Allison L Palmer,112112303,Active,Norman - Main Campus,L,15,0,15,0,0,8/21/17,12/8/17,FAC,205,T/R,1330,1445,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,LDIV,AF,AF FA LDIV LIB NLD UFA
...,A HI,2014,7,36171,...,...,...,...,...,,,,,,,8/21/17,12/8/17,FJC,203,F,1330,1430,,,,,,,,,,,,,,,,
