Term,Subject,Course Number,Section,CRN,Title,Primary Instructor,Instructor ID,Status,Campus,Grade Mode,Maximum Enrollment,Actual Enrollment,Seats Available,Dean's Expected Enrollment,Waitlist,Start Date,End Date,Building,Room,Days,Start Time,End Time,College,Department,Fee #1 Detail Code,Fee #1 Name,Fee #1 Type,Fee #1 Amount,Fee #2 Detail Code,Fee #2 Name,Fee #2 Type,Fee #2 Amount,Instruction Method,Schedule Code,Part of Term,Level,Gened,Attributes
Spring 2017,A HI,1113,1,21289,Understanding Art,Denise Neil-Binion,112364476,Active,Norman - Main Campus,L,43,45,-2,70,0,1/17/17,5/5/17,MFPH,3020,M/W/F,1030,1120,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,LDIV,AF,AF FA LDIV NLD UFA
Spring 2017,A HI,2014,1,34258,Introduction to Art History,Kenneth Haltman,112707192,Active,Norman - Main Campus,L,10,10,0,0,0,1/17/17,5/5/17,FJC,204,F,900,1000,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,LDIV,AF,AF FA LDIV LIB NLD UFA
...,A HI,2014,1,34258,...,...,...,...,...,,,,,,,1/17/17,5/5/17,FJM,B0001,T/R,1330,1445,,,,,,,,,,,,,,,,
Spring 2017,A HI,2014,2,34259,Introduction to Art History,Kenneth Haltman,112707192,Active,Norman - Main Campus,L,10,7,3,0,0,1/17/17,5/5/17,FJC,204,F,1030,1130,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,LDIV,AF,AF FA LDIV LIB NLD UFA
...,A HI,2014,2,34259,...,...,...,...,...,,,,,,,1/17/17,5/5/17,FJM,B0001,T/R,1330,1445,,,,,,,,,,,,,,,,
Spring 2017,A HI,2014,3,34260,Introduction to Art History,Kenneth Haltman,112707192,Active,Norman - Main Campus,L,10,10,0,0,0,1/17/17,5/5/17,FJC,203,F,1200,1300,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,LDIV,AF,AF FA LDIV LIB NLD UFA
...,A HI,2014,3,34260,...,...,...,...,...,,,,,,,1/17/17,5/5/17,FJM,B0001,T/R,1330,1445,,,,,,,,,,,,,,,,
Spring 2017,A HI,2014,4,34261,Introduction to Art History,Kenneth Haltman,112707192,Active,Norman - Main Campus,L,10,10,0,0,0,1/17/17,5/5/17,FJC,204,F,1330,1430,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,LDIV,AF,AF FA LDIV LIB NLD UFA
...,A HI,2014,4,34261,...,...,...,...,...,,,,,,,1/17/17,5/5/17,FJM,B0001,T/R,1330,1445,,,,,,,,,,,,,,,,
Spring 2017,A HI,2223,1,21294,Global Art  II,Alicia Lynn Harris,113290411,Active,Norman - Main Campus,L,60,57,3,50,0,1/17/17,5/5/17,FJC,205,M/W,900,1015,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,LDIV,AF,AF FA LDIV NLD UFA
Spring 2017,A HI,2970,101,30887,Chinese Art,Whitney Alliece Franca,113316966,Active,Norman - Main Campus,S,3,0,3,0,0,1/17/17,5/12/17,XCH001,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,SAB,1,LDIV,,IS LDIV NLD REEX UIS VART
Spring 2017,A HI,2970,159,30888,Contemporary Art History,Whitney Alliece Franca,113316966,Active,Norman - Main Campus,S,3,0,3,0,0,1/17/17,5/12/17,XCH059,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,SAB,1,LDIV,,FA LDIV NLD UFA VART
Spring 2017,A HI,2970,191,30889,Renaissance Art,Whitney Alliece Franca,113316966,Active,Norman - Main Campus,S,3,0,3,0,0,1/17/17,5/12/17,XCH091,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,SAB,1,LDIV,,FA LDIV NLD UFA VART
